"day","total_steps"
2019-10-11,8097
2019-10-12,6071
2019-10-13,5803
2019-10-14,6606
2019-10-15,7747
2019-10-16,11465
2019-10-17,5057
2019-10-18,4764
2019-10-19,3895
2019-10-20,2148
2019-10-21,3341
2019-10-22,4112
2019-10-23,7384
2019-10-24,9394
2019-10-25,2866
2019-10-26,4463
2019-10-27,1831
2019-10-28,5692
2019-10-29,8356
2019-10-30,2229
2019-10-31,8490
2019-11-01,6257
2019-11-02,838
2019-11-03,3134
2019-11-04,5516
2019-11-05,10801
2019-11-06,4138
2019-11-07,6665
2019-11-08,4291
2019-11-09,2218
2019-11-10,5607
2019-11-11,4778
2019-11-12,6130
2019-11-13,3333
2019-11-14,4259
2019-11-15,4786
2019-11-16,1764
2019-11-17,1464
2019-11-18,5842
2019-11-19,6133
2019-11-20,4421
2019-11-21,7072
2019-11-22,5297
2019-11-23,2870
2019-11-24,1480
2019-11-25,5909
2019-11-26,4790
2019-11-27,6830
2019-11-28,976
2019-11-29,429
2019-11-30,4045
2019-12-01,1279
2019-12-02,795
2019-12-03,4485
2019-12-04,5581
2019-12-05,3116
2019-12-06,2905
2019-12-07,927
2019-12-08,587
2019-12-09,5325
2019-12-10,6338
2019-12-11,2071
2019-12-12,2019
2019-12-13,4842
2019-12-14,1520
2019-12-15,4866
2019-12-16,674
2019-12-17,193
2019-12-18,703
2019-12-19,903
2019-12-20,1708
2019-12-21,2310
2019-12-22,5588
2019-12-23,274
2019-12-24,4081
2019-12-25,1880
2019-12-26,4339
2019-12-27,494
2019-12-28,871
2019-12-29,2837
2019-12-30,5021
2019-12-31,1352
2020-01-01,2997
2020-01-02,466
2020-01-03,6312
2020-01-04,2372
2020-01-05,7959
2020-01-06,3737
2020-01-07,5082
2020-01-08,11616
2020-01-09,15563
2020-01-10,6620
2020-01-11,5175
2020-01-12,3282
2020-01-13,4936
2020-01-14,8282
2020-01-15,7269
2020-01-16,11374
2020-01-17,2730
2020-01-18,4207
2020-01-19,6327
2020-01-20,2349
2020-01-21,5926
2020-01-22,4810
2020-01-23,10629
2020-01-24,4000
2020-01-25,9444
2020-01-26,1084
2020-01-27,6349
2020-01-28,10336
2020-01-29,5261
2020-01-30,8751
2020-01-31,1610
2020-02-01,4158
2020-02-02,4833
2020-02-03,3423
2020-02-04,11109
2020-02-05,5303
2020-02-06,7565
2020-02-07,3086
2020-02-08,4202
2020-02-09,4212
2020-02-10,6886
2020-02-11,13196
2020-02-12,5876
2020-02-13,10958
2020-02-14,884
2020-02-15,151
2020-02-16,3289
2020-02-17,3049
2020-02-18,12034
2020-02-19,8501
2020-02-20,7528
2020-02-21,4537
2020-02-22,1957
2020-02-23,1362
2020-02-24,4525
2020-02-25,7908
2020-02-26,6492
2020-02-27,11769
2020-02-28,6547
2020-02-29,2147
2020-03-01,4225
2020-03-02,3513
2020-03-03,9316
2020-03-04,5439
2020-03-05,10556
2020-03-06,2313
2020-03-07,9582
2020-03-08,6470
2020-03-09,1442
2020-03-10,858
2020-03-11,7062
2020-03-12,6318
2020-03-13,2578
2020-03-14,181
2020-03-15,889
2020-03-16,9688
2020-03-17,2565
2020-03-18,4024
2020-03-19,926
2020-03-20,548
2020-03-21,503
2020-03-22,648
2020-03-23,645
2020-03-24,6421
2020-03-25,1086
2020-03-26,908
2020-03-27,947
2020-03-28,7704
2020-03-29,550
2020-03-30,3695
2020-03-31,761
2020-04-01,355
2020-04-02,745
2020-04-03,688
2020-04-04,5853
2020-04-05,1210
2020-04-06,1799
2020-04-07,1058
2020-04-08,1734
2020-04-09,1593
2020-04-10,6875
2020-04-11,1171
2020-04-12,865
2020-04-13,1299
2020-04-14,1550
2020-04-15,2188
2020-04-16,1076
2020-04-17,512
2020-04-18,6040
2020-04-19,839
2020-04-20,5594
2020-04-21,869
2020-04-22,668
2020-04-23,806
2020-04-24,1145
2020-04-25,1014
2020-04-26,569
2020-04-27,1081
2020-04-28,2209
2020-04-29,851
2020-04-30,2423
2020-05-01,970
2020-05-02,509
2020-05-03,757
2020-05-04,1052
2020-05-05,814
2020-05-06,805
2020-05-07,1473
2020-05-08,3262
2020-05-09,553
2020-05-10,2642
2020-05-11,1058
2020-05-12,2201
2020-05-13,4263
2020-05-14,471
2020-05-15,643
2020-05-16,929
2020-05-17,711
2020-05-18,877
2020-05-19,289
2020-05-20,3101
2020-05-21,2753
2020-05-22,768
2020-05-23,439
2020-05-24,3277
2020-05-25,1068
2020-05-26,812
2020-05-27,1564
2020-05-28,975
2020-05-29,670
2020-05-30,10829
2020-05-31,1159
2020-06-01,885
2020-06-02,822
2020-06-03,3010
2020-06-04,4484
2020-06-05,2560
2020-06-06,4522
2020-06-07,878
2020-06-08,782
2020-06-09,877
2020-06-10,454
2020-06-11,2118
2020-06-12,26698
2020-06-13,17484
2020-06-14,2777
2020-06-15,3590
2020-06-16,1554
2020-06-17,13786
2020-06-18,5315
2020-06-19,132
2020-06-20,2794
2020-06-21,1644
2020-06-22,2976
2020-06-23,51
2020-06-24,4617
2020-06-25,11779
2020-06-26,7802
2020-06-27,15856
2020-06-28,14277
2020-06-29,1228
2020-06-30,2636
2020-07-01,8773
2020-07-02,4144
2020-07-03,959
2020-07-04,2037
2020-07-05,3756
2020-07-06,6370
2020-07-07,2330
2020-07-08,9744
2020-07-09,7804
2020-07-10,9543
2020-07-11,7347
2020-07-12,17691
2020-07-13,4262
2020-07-14,957
2020-07-15,7921
2020-07-16,3514
2020-07-17,1798
2020-07-18,12973
2020-07-19,715
2020-07-20,271
2020-07-21,1772
2020-07-22,8233
2020-07-23,4513
2020-07-24,1876
2020-07-25,3436
2020-07-26,18410
2020-07-27,2048
